MSA,Metric,Profiles
"Orlando-Kissimmee-Sanford, FL",Microsoft Certified Systems Engineer,46
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Certified Ethical Hacker,139
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Certified Information Security Manager,169
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Certified Information System Auditor (CISA),153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Certified Information Systems Security Professional,490
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cisco Certified Network Associate,155
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cisco Certified Network Professional,43
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",CompTIA Security+,337
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",GIAC Certifications,130
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",GIAC Certified Incident Handler,35
